% function evaluation | noise-free fitness - Fopt (-6.211100000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
41 +2.030294753e+08 +2.030294753e+08 +2.030292204e+08 +2.030292204e+08 +3.4985e+00 +1.4643e+00 -1.9090e+00 +1.1652e+00 -2.5293e+00 -9.6066e-01 -1.5479e+00 +2.8863e+00 +3.3805e+00 +5.2839e-01 -4.0335e+00 +8.3528e-01 +9.2676e-01 -4.5396e+00 -2.1457e+00 -3.4379e+00 +4.2687e+00 -6.0341e-01 -1.3719e+00 -2.3852e+00
84 +9.915385036e+07 +9.915385036e+07 +9.915359554e+07 +9.915359554e+07 +2.7560e+00 +3.8566e+00 -2.9608e+00 +3.2001e-01 -3.0628e+00 -1.8145e+00 -2.1088e+00 +6.7611e-01 -8.1350e-02 +2.3944e+00 -5.4999e-02 -7.9329e-01 +8.6658e-01 +5.7923e-01 -3.2557e+00 -2.7192e+00 +1.3923e+00 -2.7643e+00 +2.7905e-01 +1.8776e-01
205 +5.806570505e+07 +5.806570505e+07 +5.806545023e+07 +5.806545023e+07 +2.7713e+00 +3.7760e+00 -7.4653e-01 +7.3576e-01 -2.5472e+00 -2.4048e+00 -1.2394e+00 +8.5833e-01 +1.6759e+00 +2.1544e+00 -3.8317e-01 +2.6240e-01 +8.9970e-01 -1.8078e+00 -3.4647e+00 -2.6648e+00 +2.0997e+00 -1.7228e+00 -5.4706e-01 +5.9957e-01
% function evaluation | noise-free fitness - Fopt (5.661000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.139800616e+09 +1.139800616e+09 +1.139800672e+09 +1.139800672e+09 -2.3953e+00 -1.4546e+00 +4.9853e+00 +3.0782e-02 -3.1171e+00 -1.9213e+00 +4.1376e+00 -3.0532e+00 +1.0896e+00 -1.3892e+00 +4.8738e+00 -4.0556e+00 -3.8321e+00 -3.4143e+00 -3.1595e+00 -4.4447e+00 +2.9116e+00 -1.7298e+00 -1.1309e+00 -3.4069e+00
2 +9.803777847e+08 +9.803777847e+08 +9.803778413e+08 +9.803778413e+08 -4.6657e+00 -2.8724e+00 -4.3696e+00 +2.2189e-01 +2.7723e+00 +4.9310e+00 +1.4126e+00 -3.9688e+00 -4.8354e+00 -3.6086e+00 +3.4047e+00 +2.8677e+00 -4.1556e+00 -3.4974e+00 -7.0064e-01 -4.3116e+00 +2.8698e-01 -3.0054e+00 -1.5661e+00 -1.7954e+00
6 +3.067031627e+08 +3.067031627e+08 +3.067032193e+08 +3.067032193e+08 -2.0517e+00 +2.8629e+00 -1.0589e+00 -1.8508e+00 -4.8881e+00 +2.0177e+00 +2.5778e+00 -4.5120e+00 +1.3551e+00 -3.9426e+00 +1.5948e+00 +4.2635e+00 -3.0288e+00 +1.6261e+00 -4.7704e+00 +1.0112e+00 +4.7171e+00 -2.3972e+00 +1.9489e+00 -4.7344e+00
41 +1.610109519e+08 +1.610109519e+08 +1.610110085e+08 +1.610110085e+08 -2.3710e+00 -3.0723e+00 -3.0491e+00 +7.8330e-01 -9.6540e-01 +1.6558e+00 +4.5737e+00 -3.2193e+00 -3.4682e+00 -8.9140e-01 +1.7929e+00 +9.0010e-01 -9.2033e-01 -1.1750e+00 -2.2893e+00 +3.2521e+00 +1.4356e-01 -2.1992e+00 -1.7826e-01 -3.7766e+00
44 +1.251013943e+08 +1.251013943e+08 +1.251014509e+08 +1.251014509e+08 -1.5040e+00 -2.8264e+00 -4.0875e+00 +1.0190e+00 -1.0525e-01 -1.0338e-01 +2.4863e+00 +3.4340e+00 -3.8387e+00 -4.4719e-02 +3.7202e+00 -7.0564e-01 +2.0844e+00 +2.5318e+00 -8.5182e-01 +2.4046e+00 -9.0392e-01 +1.5962e+00 -6.7382e-01 -2.7382e+00
81 +5.877343102e+07 +5.877343102e+07 +5.877348763e+07 +5.877348763e+07 -1.5040e+00 -2.8264e+00 -4.0875e+00 +1.0190e+00 -1.0525e-01 -1.0338e-01 +2.4863e+00 -1.7284e+00 -3.8387e+00 -4.4719e-02 +3.7202e+00 -7.0564e-01 +2.0844e+00 +2.5318e+00 -8.5182e-01 +2.4046e+00 -9.0392e-01 +1.5962e+00 -6.7382e-01 -2.7382e+00
430 +3.946692512e+07 +3.946692512e+07 +3.946698173e+07 +3.946698173e+07 -1.6393e+00 -2.4236e+00 -3.8879e+00 +9.2793e-01 +6.3844e-02 -1.5900e-01 +2.3031e+00 -2.6525e+00 -3.5413e+00 -1.4427e-01 +2.4521e+00 +1.7085e+00 +2.0505e+00 +2.3141e+00 -1.1291e+00 +1.8918e+00 -9.8122e-01 +8.5860e-01 -1.4083e-01 -3.3940e+00
% function evaluation | noise-free fitness - Fopt (-1.810000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.544355243e+08 +5.544355243e+08 +5.544355062e+08 +5.544355062e+08 +1.7226e+00 +4.7077e+00 +3.0882e+00 -2.3289e+00 +2.6596e+00 -1.0443e+00 +1.5188e+00 -3.6825e-01 -2.7841e+00 -4.9765e+00 +1.5407e+00 -3.7541e+00 +4.4076e+00 +9.8749e-01 +2.1748e+00 -1.3755e+00 +5.9736e-01 -1.2780e+00 +1.2840e+00 +4.8624e+00
24 +2.172373495e+08 +2.172373495e+08 +2.172373314e+08 +2.172373314e+08 -4.9173e+00 -1.8229e+00 -1.4174e+00 -7.1163e-01 -9.6138e-01 +3.7579e+00 -2.8961e+00 +3.9916e+00 +5.9248e-01 +1.0687e+00 -2.3160e+00 +5.1875e-01 +3.0814e+00 -2.1999e-01 +3.9739e+00 -2.0381e+00 -4.9227e+00 -3.0206e+00 +2.4243e-02 +3.0583e+00
83 +1.310854654e+08 +1.310854654e+08 +1.310854473e+08 +1.310854473e+08 +1.5765e+00 -2.2407e+00 -1.2125e+00 +1.7556e+00 -2.6994e-01 +1.5699e+00 -1.2099e+00 +5.5510e-01 -2.5439e+00 +1.1458e+00 +1.5952e-01 -6.8037e-01 +3.0168e+00 +6.2417e-03 +2.7980e+00 -2.2272e+00 +4.9747e-01 -3.1362e+00 +1.6736e+00 +2.2002e+00
97 +9.897501351e+07 +9.897501351e+07 +9.897499541e+07 +9.897499541e+07 +7.4029e-01 -8.1071e-01 -1.3273e+00 +2.0473e+00 -6.4887e-01 +1.9080e+00 -1.7276e+00 -2.0692e+00 +7.1167e-01 +1.7971e+00 -1.2789e+00 -6.6419e-01 +3.2351e+00 -1.1345e+00 +2.5394e+00 -1.2266e+00 -1.8710e+00 -1.3542e+00 +1.0602e+00 +3.0268e+00
% function evaluation | noise-free fitness - Fopt (3.777000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +6.520391869e+08 +6.520391869e+08 +6.520392247e+08 +6.520392247e+08 +4.2512e+00 -1.1660e+00 +3.4276e-01 +3.7918e+00 +2.8052e+00 +2.9202e+00 -4.0812e+00 +1.7286e+00 +1.5362e+00 -1.6820e+00 +3.8819e+00 -3.7492e-01 -2.8042e+00 +4.3917e+00 +5.3119e-01 +2.9156e+00 +3.7242e+00 +3.7694e+00 +4.8025e+00 +1.5266e+00
2 +2.712535160e+08 +2.712535160e+08 +2.712535537e+08 +2.712535537e+08 -3.7911e-01 -2.6159e+00 +4.7501e+00 +2.5913e+00 -4.6925e-01 -3.5400e+00 -6.3016e-01 +3.1140e+00 -2.5469e+00 -4.0076e+00 +4.1529e+00 +3.0377e+00 +2.4110e+00 +4.9535e+00 +1.4438e+00 +4.6839e+00 +1.9028e+00 -3.5796e+00 -3.6572e+00 +2.7165e+00
19 +2.395647803e+08 +2.395647803e+08 +2.395648180e+08 +2.395648180e+08 -1.1855e+00 +2.4185e+00 +1.9479e-01 -1.7330e+00 +3.9135e+00 -7.9244e-01 -4.8692e+00 -3.0640e+00 -7.2795e-01 -2.9982e+00 -4.1272e+00 -2.6930e+00 -2.0852e-02 +3.3478e+00 +1.3847e+00 -4.5992e+00 -4.6733e+00 +2.6137e+00 +3.0361e+00 -3.0298e+00
29 +1.383729154e+08 +1.383729154e+08 +1.383729532e+08 +1.383729532e+08 -9.0736e-03 +1.2651e+00 +4.3505e+00 -1.0482e+00 -1.4818e+00 +2.3644e+00 -3.3240e+00 +2.0610e+00 -3.0245e+00 -2.1001e+00 +2.9427e+00 -5.9725e-01 -3.2535e+00 +2.9576e+00 +7.8760e-01 -4.4977e+00 -2.6215e+00 +2.4196e+00 +7.6205e-01 -3.1705e+00
42 +8.662408433e+07 +8.662408433e+07 +8.662412210e+07 +8.662412210e+07 -3.3670e-02 +9.8209e-01 +4.7199e+00 +6.0404e-01 -1.4039e+00 -2.9958e+00 -2.5187e+00 +2.7090e+00 -2.6167e+00 -2.4206e+00 +3.7381e+00 -4.7546e-01 +1.9730e-01 +3.3160e+00 +8.6831e-01 +2.7738e+00 -2.8732e-02 -1.7079e+00 -2.9338e+00 -4.2467e-02
86 +6.293937388e+07 +6.293937388e+07 +6.293941165e+07 +6.293941165e+07 -9.4139e-01 +6.9287e-02 +3.4565e+00 +4.7973e-01 -6.1727e-01 -3.2277e-01 -3.4069e+00 +1.7715e+00 -1.8623e+00 -2.0918e+00 +1.8614e+00 -9.9637e-01 +7.4041e-01 +1.6710e+00 -7.7215e-01 -3.7169e+00 -2.3892e+00 +2.2730e+00 +7.1741e-01 -2.6753e+00
149 +3.928003243e+07 +3.928003243e+07 +3.928007020e+07 +3.928007020e+07 -3.3023e-01 +2.0739e+00 +1.6863e+00 -2.0531e+00 +1.1310e+00 -3.0487e-01 -2.6935e+00 +2.6787e+00 -8.7398e-01 -1.2683e+00 +2.2759e+00 -8.1841e-01 -8.8400e-01 +2.7291e+00 -2.3418e+00 -5.6068e-02 -1.2153e+00 +2.3611e+00 -3.8079e-01 -2.3863e+00
2200 +2.487104293e+07 +2.487104293e+07 +2.487108070e+07 +2.487108070e+07 -7.1946e-01 +2.0977e+00 +1.2536e+00 -1.1760e+00 +6.4710e-01 -2.3531e-01 -2.4083e+00 +2.2478e+00 -8.2860e-01 -1.9082e+00 +2.2166e+00 -1.0320e+00 -9.6382e-01 +1.5301e+00 -2.1438e+00 -1.6712e-01 -1.0586e+00 +2.2285e+00 -3.2727e-01 -1.9530e+00
% function evaluation | noise-free fitness - Fopt (2.700000000000e-01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.724065135e+08 +7.724065135e+08 +7.724065138e+08 +7.724065138e+08 +4.4571e+00 -1.4975e+00 +9.6941e-01 +4.4326e+00 -4.3128e+00 -1.1845e+00 +4.2442e+00 -2.5158e+00 +1.9529e+00 -2.0764e+00 +5.1846e-02 -1.4269e-01 -4.1283e+00 -4.4831e+00 +4.9987e+00 +1.1288e+00 -4.3870e+00 -1.7356e+00 +3.1860e+00 -1.9831e+00
4 +5.457460321e+08 +5.457460321e+08 +5.457460324e+08 +5.457460324e+08 -3.4079e-01 -1.5122e+00 -1.4802e+00 -7.7222e-01 -8.7469e-01 +3.3689e+00 -2.5749e+00 -1.6050e+00 +1.0545e+00 -2.4676e+00 +4.0883e+00 -4.9609e+00 +1.6775e+00 -4.5713e+00 +2.6971e+00 -7.8214e-01 -1.1788e-01 +2.5441e+00 +3.2195e-01 +5.6260e-01
7 +3.225254676e+08 +3.225254676e+08 +3.225254679e+08 +3.225254679e+08 -1.1977e+00 -7.3790e-01 -1.1276e+00 +4.9695e+00 +4.1009e+00 -1.5350e+00 +2.7690e+00 +2.2078e+00 +2.7547e-01 +2.7105e+00 +2.3049e+00 +2.5474e+00 +2.3718e+00 -3.5850e+00 +1.7879e+00 +2.8652e+00 +2.0132e+00 -4.1708e+00 -1.8953e+00 +2.9854e+00
42 +2.246159478e+08 +2.246159478e+08 +2.246159480e+08 +2.246159480e+08 +2.2068e+00 +1.2990e+00 -1.9530e+00 +4.0681e+00 +1.1015e+00 -1.3310e+00 -1.9154e+00 +1.7020e+00 +4.2670e+00 +3.3430e+00 -1.6649e+00 -1.0044e+00 -6.6077e-01 -2.9632e-01 +3.1003e-01 -3.6333e+00 -2.5649e+00 -3.9535e+00 -2.0384e+00 +5.6099e-01
68 +1.404453790e+08 +1.404453790e+08 +1.404453793e+08 +1.404453793e+08 -3.7407e-01 -1.7874e-01 -2.9123e+00 -5.7105e-01 -2.5282e+00 +2.2236e+00 -7.9342e-01 +2.2507e+00 -3.1461e+00 +3.3921e+00 -1.1986e+00 -4.4908e+00 -2.5346e+00 +3.5098e+00 +2.2829e+00 +1.0677e+00 -1.7617e+00 -3.0158e+00 -2.5954e+00 +7.7643e-01
251 +9.977672533e+07 +9.977672533e+07 +9.977672560e+07 +9.977672560e+07 -4.5693e-01 -6.0631e-01 -7.9769e-01 -7.4582e-01 -2.3960e+00 +1.9555e+00 -6.4670e-01 +2.1631e+00 -1.7145e+00 +3.3495e+00 -2.2950e-02 -3.3764e+00 -1.9715e+00 +3.5411e+00 +2.0588e+00 +1.7261e+00 -1.8590e+00 -2.8564e+00 -2.7039e+00 +1.5467e+00
% function evaluation | noise-free fitness - Fopt (2.521900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.163237542e+09 +1.163237542e+09 +1.163237794e+09 +1.163237794e+09 -2.0111e+00 +3.0333e+00 +4.6606e+00 +2.3880e+00 -2.3840e+00 -2.4232e+00 +4.8999e+00 +2.2459e+00 -2.3779e+00 -1.8194e-02 +7.8277e-01 +2.6910e+00 -2.5859e+00 +4.2438e+00 -2.2025e+00 +1.2333e+00 +1.9163e+00 +1.3235e-01 -6.8229e-01 +3.1147e+00
3 +1.067477978e+08 +1.067477978e+08 +1.067480499e+08 +1.067480499e+08 -6.3906e-01 +3.7317e+00 +6.2998e-02 +3.9352e+00 -1.2517e-01 -9.8642e-01 +1.0503e+00 -7.7580e-01 -3.2570e+00 -1.0759e+00 -1.9865e+00 +3.4457e+00 -3.5388e+00 -3.4308e+00 -4.2448e+00 -2.9652e-01 +7.0783e-01 -1.5774e+00 +4.5328e-01 -3.6226e+00
44 +7.291960507e+07 +7.291960507e+07 +7.291985726e+07 +7.291985726e+07 +9.9933e-01 +3.9110e+00 -7.3240e-01 +3.3060e+00 +1.1100e+00 +6.9942e-01 -2.9466e+00 -2.7623e+00 -3.2830e+00 -2.1559e-01 -2.5473e+00 +3.4937e+00 -1.3427e+00 -2.5416e+00 -3.3063e+00 -6.4723e-01 +7.4395e-01 +1.4970e+00 -3.6039e+00 -2.3937e+00
59 +5.248861715e+07 +5.248861715e+07 +5.248886934e+07 +5.248886934e+07 -6.3457e-01 +2.5512e+00 -1.8343e-02 -2.5708e+00 -1.4787e+00 +6.7963e-02 -1.9855e+00 +6.2042e-01 -3.1542e+00 +2.2570e-01 -1.8446e+00 +1.9775e+00 -1.4702e+00 -2.9753e+00 -3.4923e+00 +3.7288e+00 +4.2771e-02 -8.0762e-01 -1.1838e-01 -1.0410e+00
117 +3.665748552e+07 +3.665748552e+07 +3.665773771e+07 +3.665773771e+07 -3.9871e-01 +6.7342e-01 +1.1214e-01 +1.6522e-01 -1.3381e+00 -1.4062e+00 -4.0959e-01 -6.2318e-01 -3.1033e+00 -2.3019e-01 -6.4928e-01 +1.6538e+00 -1.4692e+00 -2.6209e+00 -3.1664e+00 +2.7869e+00 -1.2295e-01 -8.8487e-01 -1.4466e-01 -9.8341e-01
% function evaluation | noise-free fitness - Fopt (6.029000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.018847868e+09 +2.018847868e+09 +2.018847929e+09 +2.018847929e+09 +8.3092e-01 -3.9402e+00 -3.2339e+00 +4.5954e+00 -4.6487e+00 +5.1352e-01 -2.3614e+00 -3.7900e+00 -3.1516e+00 -2.3527e+00 +1.0560e+00 -2.8035e+00 -2.3705e+00 -2.2069e+00 -2.3365e+00 +1.3968e-01 -8.2436e-01 +4.2815e+00 -4.2814e-02 -3.0912e+00
3 +3.183442636e+08 +3.183442636e+08 +3.183443239e+08 +3.183443239e+08 -1.7050e-02 +2.6109e+00 +3.9169e+00 -1.7385e+00 +3.6740e-01 +2.4604e+00 +4.6602e+00 -1.3159e+00 +1.8258e+00 -4.8512e+00 -2.9401e+00 +5.2425e-01 +1.3034e+00 -2.0934e+00 -3.7256e+00 -2.0006e+00 -1.8568e+00 -4.5283e+00 -3.3434e+00 +1.6818e+00
11 +2.382449475e+08 +2.382449475e+08 +2.382450078e+08 +2.382450078e+08 -8.9532e-01 +3.2908e+00 -1.0786e+00 +4.4651e+00 -3.9451e+00 +2.9876e+00 +4.6597e+00 +1.5094e+00 -4.8745e+00 -1.6857e+00 +3.3381e+00 -3.5074e+00 -2.6831e+00 -7.1052e-01 -2.2172e+00 +4.3800e-01 -4.5364e+00 -4.6684e+00 +1.6928e+00 +1.0909e+00
86 +1.484216469e+08 +1.484216469e+08 +1.484217072e+08 +1.484217072e+08 +2.1013e-01 +3.2800e+00 -1.5573e+00 +3.7165e+00 -1.2815e-01 +3.8911e-01 +4.4096e-01 -9.2413e-02 -2.4683e+00 -1.8040e+00 +1.1237e+00 -3.2428e+00 -2.2911e+00 -6.8054e-01 -1.9202e+00 -1.6224e+00 -2.7958e+00 -3.7437e+00 -2.3843e+00 +8.8760e-01
131 +9.018053853e+07 +9.018053853e+07 +9.018059882e+07 +9.018059882e+07 -2.4914e+00 +3.3287e+00 -1.4982e+00 +1.1536e+00 +3.2469e+00 -1.4048e-01 +1.5423e+00 +2.7245e+00 -2.0622e+00 -2.1063e-01 +9.3331e-01 -4.6186e+00 +1.3424e+00 -3.5968e-01 -1.0607e+00 +2.4211e+00 -4.1923e+00 -4.4775e+00 +1.0764e+00 +6.2329e-01
633 +6.253036034e+07 +6.253036034e+07 +6.253042063e+07 +6.253042063e+07 -4.5855e-01 +3.0606e+00 -1.7993e+00 +2.5140e+00 +2.4659e+00 -1.8775e-01 +1.9373e+00 +2.0403e+00 +1.5277e-01 -5.4036e-01 +1.0332e+00 -4.5179e+00 +1.0564e+00 -3.5322e-01 -1.6005e+00 +9.0990e-01 -3.9135e+00 -3.8649e+00 +1.8947e-01 +9.0961e-01
% function evaluation | noise-free fitness - Fopt (-1.376700000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.535573310e+10 +1.535573310e+10 +1.535573297e+10 +1.535573297e+10 +3.8657e+00 +2.9035e+00 -2.1386e+00 +1.2893e+00 +4.0734e+00 -3.7980e+00 -1.3232e+00 +2.8072e+00 -1.4184e-01 +4.1066e+00 -1.4587e+00 -7.2419e-01 +1.3859e+00 +3.0886e+00 +1.9810e+00 +4.2730e+00 -4.9932e+00 -2.5932e+00 -3.9402e+00 -2.6825e+00
2 +1.810908810e+09 +1.810908810e+09 +1.810908672e+09 +1.810908672e+09 +4.8330e+00 +3.4013e+00 -2.0748e+00 +3.7848e+00 -3.4720e-01 -4.0627e+00 -8.6344e-01 -1.1795e+00 -1.6577e-01 +1.9942e+00 -3.7396e+00 -4.4474e+00 -7.2402e-01 -7.7618e-01 +3.8854e+00 +1.3409e+00 -4.3474e+00 +4.7858e+00 +3.4737e+00 -2.0619e-01
6 +9.618466827e+08 +9.618466827e+08 +9.618465450e+08 +9.618465450e+08 +2.9571e+00 +1.0565e+00 +1.9540e+00 -5.2738e-01 -1.6372e-01 -4.4491e+00 -3.8293e+00 +9.4859e-01 -1.7453e+00 +1.9107e+00 -2.5038e+00 +1.1718e+00 -7.9225e-01 -2.7336e+00 +3.9521e+00 -1.5654e+00 +2.6204e+00 -1.8330e+00 +7.6426e-01 +1.2118e+00
10 +4.421994237e+08 +4.421994237e+08 +4.421992861e+08 +4.421992861e+08 +2.3472e+00 -4.8635e+00 -2.5927e+00 -3.2731e+00 -1.4694e+00 +2.4704e+00 +2.4111e-01 -9.7346e-01 -2.5190e+00 -1.1802e+00 -2.1832e+00 -2.2846e+00 -1.4750e+00 -5.8270e-02 -1.7683e+00 -2.8581e-01 -1.1720e+00 +3.1787e+00 -1.4413e+00 -1.3840e+00
34 +3.336783206e+08 +3.336783206e+08 +3.336781829e+08 +3.336781829e+08 -1.6768e+00 -9.9725e-01 +1.8817e+00 +2.6696e+00 +2.7043e+00 +1.2648e-01 -4.4502e+00 -6.4270e-01 +1.7139e+00 -2.0106e+00 -3.6788e+00 +3.9740e+00 -3.6633e+00 -1.7585e+00 +2.2553e+00 +2.4870e+00 +1.9058e+00 -4.6314e+00 -3.1208e-01 -3.3264e+00
50 +2.213936447e+08 +2.213936447e+08 +2.213935071e+08 +2.213935071e+08 +1.9137e+00 -4.7056e+00 -1.9115e+00 -3.2597e+00 -4.5654e-01 +7.9095e-01 -1.5893e+00 -8.8074e-01 -9.0629e-01 -1.2550e+00 -2.4588e+00 +8.0802e-01 -2.3295e+00 -9.9418e-02 +2.1766e-01 +1.1091e+00 -1.0728e+00 -2.9934e+00 -4.5311e-01 -1.3889e+00
68 +1.351334371e+08 +1.351334371e+08 +1.351332994e+08 +1.351332994e+08 -1.4636e+00 -1.3540e+00 -1.2121e+00 -5.2564e-01 +2.2846e+00 -1.5007e+00 -4.3962e+00 -8.0827e-01 +1.7148e+00 -1.2653e+00 -1.7815e+00 +3.8109e+00 -2.4968e+00 -1.1774e+00 +2.0867e+00 +2.5271e+00 +1.1803e+00 -3.3104e+00 -7.3334e-01 -8.6680e-01
465 +9.982936662e+07 +9.982936662e+07 +9.982922895e+07 +9.982922895e+07 -2.6494e+00 -1.1477e+00 -1.2843e+00 -4.6081e-01 +1.9355e+00 -8.3893e-01 -2.5197e+00 +7.6027e-02 +1.0956e+00 -1.1943e+00 -1.0255e+00 +3.2410e+00 -2.9693e+00 -8.9310e-01 +2.2280e+00 +2.3438e+00 +1.0219e+00 -3.2034e+00 +9.4749e-01 -3.5011e-01
% function evaluation | noise-free fitness - Fopt (-3.118500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.138296434e+08 +8.138296434e+08 +8.138293316e+08 +8.138293316e+08 -3.0250e-02 -2.9399e+00 -1.1567e+00 -2.6733e+00 -1.8480e+00 -3.5086e+00 -1.8017e+00 -3.5946e+00 -4.1343e+00 +3.3631e+00 -3.9778e+00 +2.2603e+00 -3.4533e+00 -1.2521e+00 -3.0974e+00 +4.3647e+00 +2.4674e-01 -5.6163e-01 -9.2731e-02 -1.2941e+00
4 +3.740792588e+08 +3.740792588e+08 +3.740789469e+08 +3.740789469e+08 +3.5702e-01 -1.3117e+00 +4.7838e-03 +3.9041e+00 -4.0847e+00 +3.1775e+00 +2.6616e+00 -1.3153e-01 +1.4134e+00 -6.7789e-01 -1.2677e+00 +4.2220e+00 -1.9383e+00 -1.7672e+00 +2.7485e+00 +5.9090e-01 +1.5612e+00 +2.7285e+00 +4.9564e+00 -6.0495e-01
6 +2.189488020e+08 +2.189488020e+08 +2.189484902e+08 +2.189484902e+08 +1.6524e+00 +3.7713e+00 -4.4941e+00 -4.5627e+00 -1.0854e+00 -3.7344e+00 +2.3268e+00 -3.0575e+00 -3.7710e+00 +2.0167e+00 -8.3070e-01 -6.7428e-01 +7.9253e-01 +1.3848e+00 +1.9410e-01 +1.4582e+00 -1.3565e+00 -1.0229e+00 -6.4319e-01 -1.4058e+00
