% function evaluation | noise-free fitness - Fopt (-4.620900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
16 +6.510905672e+02 +6.510905672e+02 +6.473805672e+02 +6.473805672e+02 -4.4508e+00 +2.8272e-01 +2.7757e+00 +3.6887e+00 +3.5772e+00 +5.7848e-01 +1.1804e-01 -2.3915e+00 +2.1698e+00 -3.6890e+00 +3.1702e+00 +4.6041e+00 +2.9937e+00 -4.5098e+00 +5.5154e-02 +5.0621e-01 -1.0137e+00 +1.4377e+00 +3.0279e+00 -2.5627e+00
65 +5.267784889e+02 +5.267784889e+02 +5.230684889e+02 +5.230684889e+02 +1.7369e+00 -3.0951e-01 +1.1029e-02 +2.8088e+00 +3.5318e+00 -7.5481e-01 -1.1058e+00 -2.0961e+00 +2.6462e+00 +2.5735e+00 +1.4136e+00 -1.0133e+00 +3.1308e+00 -1.8328e+00 +6.8729e-01 +1.7707e-01 -1.6217e-01 -4.1265e-01 +1.8496e+00 -4.8377e+00
122 +3.358213157e+02 +3.358213157e+02 +3.321113157e+02 +3.321113157e+02 +1.2559e+00 -3.5675e-01 +2.1230e-01 +2.8441e+00 +3.2917e+00 -9.2530e-03 -1.0490e+00 -4.9001e-02 +2.4077e+00 +1.4024e+00 +1.0164e+00 +9.3974e-01 +2.2820e+00 -2.2865e+00 +7.4794e-01 -2.3167e+00 -7.9011e-01 +1.6620e+00 +1.7098e+00 -3.0406e+00
287 +2.467117376e+02 +2.467117376e+02 +2.430017376e+02 +2.430017376e+02 +1.3512e+00 -3.5659e-01 +2.4574e-01 +3.1038e+00 +3.0353e+00 -4.0493e-03 -1.0332e+00 -6.2924e-02 +2.4047e+00 +1.2403e+00 +1.0347e+00 +9.3626e-01 +2.2856e+00 -2.3851e+00 +4.2019e-01 -2.1691e+00 -8.0438e-01 +1.6124e+00 +1.7276e+00 -2.8505e+00
% function evaluation | noise-free fitness - Fopt (1.321800000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.957844834e+03 +2.957844834e+03 +3.090024834e+03 +3.090024834e+03 -1.6945e+00 -2.8107e+00 -4.9128e+00 -1.6134e+00 +4.6631e+00 +2.0223e-01 -4.7279e-01 -3.0127e+00 +2.5652e+00 -1.0492e+00 -4.9079e+00 +4.5654e+00 -6.3667e-01 -4.3553e+00 +1.4351e+00 -3.8301e-01 -2.4896e+00 -2.3921e+00 +1.9237e+00 -1.2468e+00
2 +1.267857361e+03 +1.267857361e+03 +1.400037361e+03 +1.400037361e+03 +2.3805e+00 -2.3731e-01 +4.1129e+00 +4.1547e+00 +6.9592e-01 -1.4822e+00 -3.4077e+00 -2.5711e-01 -3.7630e+00 -1.4248e+00 -4.3273e+00 -4.8511e+00 -1.3389e+00 +2.2191e+00 -1.7602e-01 +2.5087e+00 +1.5504e+00 -3.0151e+00 +1.2929e-01 +3.4032e+00
25 +9.893498236e+02 +9.893498236e+02 +1.121529824e+03 +1.121529824e+03 -2.6422e+00 -1.6029e+00 +4.9522e-01 +1.8846e+00 +9.2735e-02 +6.3820e-02 +2.3403e-01 +2.6071e+00 -2.1267e+00 +3.5828e+00 -4.4136e+00 -2.3489e+00 +1.3141e+00 -3.0588e+00 -1.4968e+00 +3.6454e+00 +1.1971e+00 +1.0145e+00 -1.3704e+00 +2.7640e-02
124 +6.123319107e+02 +6.123319107e+02 +7.445119107e+02 +7.445119107e+02 +6.5824e-01 -1.2484e+00 -1.0417e+00 -1.3974e+00 +1.6790e+00 -3.7146e-01 +5.0387e-02 +2.0423e+00 -3.5210e+00 -2.1722e+00 +6.9945e-01 -2.3194e+00 -6.3480e-01 -1.0803e+00 +1.8324e+00 +4.4730e-01 -7.0907e-01 +1.9708e+00 +3.5444e-01 +6.9449e-01
% function evaluation | noise-free fitness - Fopt (-3.578000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.297351850e+03 +3.297351850e+03 +3.261571850e+03 +3.261571850e+03 -3.9185e+00 -4.0861e+00 -1.4066e+00 -4.3036e+00 -4.4478e+00 +3.6859e+00 -1.3915e+00 -2.7315e+00 +1.7021e+00 +4.7353e+00 -2.4933e+00 +3.7060e+00 +2.4719e+00 +4.1989e+00 -1.3340e+00 -1.6834e+00 +3.8187e-01 -8.2641e-01 -1.9692e+00 -3.9530e+00
4 +8.811555191e+02 +8.811555191e+02 +8.453755191e+02 +8.453755191e+02 -2.4987e+00 -1.7177e+00 +3.1336e+00 +3.2956e+00 +4.8315e-01 +9.5740e-01 -3.8744e+00 +2.4888e+00 +2.9048e-01 +4.5174e+00 -3.5221e-01 -1.8503e-01 +4.1089e-01 -3.7027e+00 -1.1647e+00 -3.2330e+00 +1.5439e+00 +1.0908e+00 -5.0563e-01 -1.9565e+00
83 +5.969228150e+02 +5.969228150e+02 +5.611428150e+02 +5.611428150e+02 -2.3036e+00 -2.2710e+00 +3.7109e+00 +1.9174e+00 -5.7581e-01 +1.7953e+00 +1.1684e+00 +1.5607e+00 +3.5654e-01 +4.3346e+00 -1.4437e+00 +1.1796e+00 +2.8931e-01 -2.8148e+00 -2.3314e+00 -2.5910e+00 +9.3793e-01 +1.2816e-01 +1.4223e+00 -1.3118e+00
% function evaluation | noise-free fitness - Fopt (-3.774000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.515790239e+04 +2.515790239e+04 +2.512016239e+04 +2.512016239e+04 +2.5089e+00 +6.5373e-01 +4.4106e+00 -2.9906e+00 +4.0727e+00 +1.3943e+00 -1.0877e+00 +2.6288e+00 +2.0710e+00 +4.3731e+00 -2.0344e+00 +3.1866e+00 -2.6728e-02 +1.4875e+00 +2.3461e+00 -2.4702e+00 +4.7412e+00 -4.8830e+00 +4.2153e+00 -4.4724e+00
2 +8.407853122e+03 +8.407853122e+03 +8.370113122e+03 +8.370113122e+03 +3.3297e+00 +8.9036e-01 +2.9284e+00 +1.2190e+00 +3.3709e+00 +3.7458e+00 +4.7851e+00 -1.6335e+00 -3.1366e+00 +3.6970e+00 +4.4883e+00 +2.8098e+00 -2.7909e+00 -3.2493e+00 -2.1540e+00 -4.3029e+00 -9.8652e-01 -3.0770e+00 +3.1400e+00 -3.0281e+00
3 +5.610660346e+03 +5.610660346e+03 +5.572920346e+03 +5.572920346e+03 -2.2135e+00 -8.5280e-01 -1.8413e+00 +3.6725e+00 -2.4703e+00 -1.3661e+00 -3.5520e+00 +4.8254e+00 +1.5422e+00 -3.4672e+00 -3.3630e+00 -4.6536e+00 +1.1224e+00 -3.8781e+00 +2.9767e+00 +2.8031e+00 +1.1492e+00 +1.0187e+00 +1.1698e+00 +4.4737e+00
10 +2.621715394e+03 +2.621715394e+03 +2.583975394e+03 +2.583975394e+03 +3.0357e+00 +2.9455e+00 -2.2320e+00 -1.7781e+00 +3.0018e+00 +4.5861e+00 +4.8344e-01 -3.6786e+00 -2.4241e+00 -2.5346e+00 -1.5418e+00 -1.5427e+00 -4.7571e+00 -2.2211e+00 -3.9188e+00 +2.9108e+00 -1.6337e+00 -4.4371e-01 -1.9864e+00 +2.8441e+00
14 +2.349693325e+03 +2.349693325e+03 +2.311953325e+03 +2.311953325e+03 -2.9828e+00 -3.9100e+00 -5.1739e-01 -8.6694e-01 -3.5336e+00 +1.2239e+00 +3.9739e+00 +2.2183e+00 +2.6198e+00 +4.8712e+00 +3.9390e+00 +3.2079e+00 -3.8479e+00 +3.5211e+00 -3.2511e-01 +2.5189e+00 +1.8907e+00 +4.0886e+00 -9.1455e-01 -4.9895e+00
17 +1.208590867e+03 +1.208590867e+03 +1.170850867e+03 +1.170850867e+03 +4.9285e+00 +2.1351e+00 +6.4080e-01 -3.9342e-01 +4.8554e-01 -1.4145e+00 +1.7665e+00 +9.7500e-01 +2.2191e+00 -1.2970e+00 -1.7170e+00 +3.3342e-01 -2.9542e+00 -2.2795e+00 -3.7230e+00 -3.2277e+00 -2.5255e+00 +1.3364e+00 +1.5105e+00 -2.1599e+00
52 +7.533812350e+02 +7.533812350e+02 +7.156412350e+02 +7.156412350e+02 -1.9372e+00 +1.0301e+00 -3.1664e+00 +2.7539e+00 -3.4604e+00 +3.2380e+00 -7.1125e-01 +1.1011e+00 +1.9472e+00 -2.3437e+00 +2.3743e+00 -2.8178e-01 -2.2492e+00 +2.2314e+00 -2.6227e+00 +1.2844e+00 -1.9011e+00 +3.4189e-01 +3.2684e-01 -2.2206e+00
74 +5.575021180e+02 +5.575021180e+02 +5.197621180e+02 +5.197621180e+02 +1.1095e+00 +2.2123e+00 -1.1564e+00 +6.1258e-01 +1.5107e+00 -3.8015e+00 +1.8065e+00 +3.2745e+00 +2.1348e+00 +3.4626e-01 -6.9071e-01 +1.6984e+00 -2.9645e+00 -9.0824e-01 -1.3023e+00 +2.2969e+00 -5.1446e-02 +4.0973e+00 +2.2688e-01 -2.8874e+00
319 +3.972115884e+02 +3.972115884e+02 +3.594715884e+02 +3.594715884e+02 +1.8098e+00 +2.4309e+00 -1.1232e+00 -1.4685e-01 +1.0195e+00 -3.0543e+00 +2.2278e+00 +3.1151e+00 +2.1209e+00 -4.1640e-01 -7.3388e-01 +1.3446e+00 -2.4275e+00 -1.0557e+00 -1.6521e+00 +2.2333e+00 -8.4846e-02 +2.6967e+00 +1.1873e+00 -2.2600e+00
% function evaluation | noise-free fitness - Fopt (1.330200000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.628751240e+03 +5.628751240e+03 +5.761771240e+03 +5.761771240e+03 -4.1781e+00 -2.1503e+00 +2.1438e+00 +1.1758e+00 -3.0135e+00 -1.5448e+00 -4.1296e-01 -1.6602e+00 +4.7345e-01 -1.9436e+00 -1.0643e-01 -3.7333e+00 +3.1098e+00 +4.6614e+00 -1.8187e+00 -1.7670e+00 +4.4950e+00 -3.4548e+00 +2.0233e+00 +4.8651e-01
2 +1.216007382e+03 +1.216007382e+03 +1.349027382e+03 +1.349027382e+03 -1.5934e+00 +2.5717e+00 -3.7340e+00 +4.1530e+00 -4.3812e+00 +4.4007e+00 -4.5115e-02 -2.2046e-01 -4.4764e+00 +3.4857e+00 +8.8226e-01 +3.7261e+00 -7.9337e-01 +4.9232e-01 -2.5569e-01 -2.1339e+00 -4.7421e-01 +4.1309e-01 +1.9241e+00 -2.5011e+00
43 +9.516373886e+02 +9.516373886e+02 +1.084657389e+03 +1.084657389e+03 +1.9213e-01 +1.8860e+00 -1.6295e+00 +3.1278e+00 -1.2662e+00 +2.5355e+00 -1.5459e+00 +8.8821e-01 -9.1129e-01 -1.2379e+00 -2.3639e+00 +3.3766e+00 +1.1595e+00 +1.9572e-01 -4.5791e-01 -2.2957e+00 +4.6217e-01 +1.7050e+00 +8.6011e-01 -3.7194e+00
100 +6.063606895e+02 +6.063606895e+02 +7.393806895e+02 +7.393806895e+02 -1.0998e+00 -1.5282e-01 +6.6523e-01 +2.4444e+00 -2.7099e-01 +1.9210e+00 +1.2010e+00 +2.3137e+00 -2.6273e+00 -6.8251e-01 -7.9050e-02 +2.0309e+00 -1.1424e+00 +8.0492e-01 +3.6944e-01 -2.0920e+00 +1.8989e+00 +3.2500e-03 +2.0428e+00 -1.2592e+00
% function evaluation | noise-free fitness - Fopt (-1.742300000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.810716412e+03 +4.810716412e+03 +4.636486412e+03 +4.636486412e+03 +1.3254e+00 -4.5817e+00 +2.4246e+00 -1.5640e-01 -1.9844e+00 -3.5929e+00 -3.9890e+00 -2.8720e+00 -4.9839e+00 -1.5186e-01 -7.9972e-01 -1.7972e+00 +1.3594e-01 +1.7162e-01 +3.3914e+00 -4.6150e+00 -2.2223e+00 +8.4139e-01 -3.8867e+00 -1.4685e+00
2 +3.140857989e+03 +3.140857989e+03 +2.966627989e+03 +2.966627989e+03 -2.4153e+00 +2.2234e+00 +3.4441e-02 +4.2137e+00 -4.5167e-01 +9.3377e-01 +3.8753e+00 -5.5975e-01 +2.0094e-01 +4.6563e+00 -1.8707e+00 -4.2263e+00 +2.2193e-01 -2.4707e+00 -3.9983e+00 -3.3317e+00 -5.9002e-01 +4.8854e+00 +2.6936e+00 -3.4536e-01
3 +9.955062202e+02 +9.955062202e+02 +8.212762202e+02 +8.212762202e+02 -5.1046e-01 +3.9275e+00 -2.2505e+00 -2.4555e+00 +3.7562e+00 -1.6061e+00 -4.7406e+00 -4.9496e+00 +4.9616e-01 +1.0774e+00 +2.4403e-01 -3.1784e+00 -4.5950e-01 -4.1639e-01 -3.4371e+00 -2.1428e+00 -3.5179e+00 +4.4172e+00 +1.0231e+00 -4.7314e+00
88 +4.177791388e+02 +4.177791388e+02 +2.435491388e+02 +2.435491388e+02 +1.5065e+00 +1.0439e+00 +3.2025e+00 -3.1659e+00 -3.6541e+00 -1.1255e+00 +6.1379e-01 -3.0405e+00 +2.7756e-02 -1.7017e+00 -1.1642e+00 -6.2029e-01 +1.4997e+00 +4.5339e-01 -7.3925e-01 +7.9226e-01 +2.2676e-01 +3.2120e+00 +2.2255e+00 -3.9904e+00
157 +3.980170746e+02 +3.980170746e+02 +2.237870746e+02 +2.237870746e+02 +1.5065e+00 +7.5400e-01 +3.2025e+00 -3.1659e+00 -3.6541e+00 -1.1255e+00 +6.1379e-01 -3.0405e+00 +2.7756e-02 -1.7017e+00 -1.1642e+00 -6.2029e-01 +1.4997e+00 +4.5339e-01 -7.3925e-01 +7.9226e-01 +2.2676e-01 +3.2120e+00 +2.2255e+00 -3.9904e+00
% function evaluation | noise-free fitness - Fopt (6.380000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.735987422e+03 +3.735987422e+03 +3.742367422e+03 +3.742367422e+03 -1.1862e+00 -4.8499e+00 -1.3064e+00 +9.5172e-01 -1.9086e+00 +1.7444e+00 +4.2166e+00 -1.8341e+00 -4.8904e+00 +1.5714e+00 -2.6460e-01 -1.9270e+00 -2.8221e+00 +3.9543e+00 +2.5044e+00 -4.4464e+00 -2.7274e+00 +3.8281e-01 -4.3728e+00 -2.7478e+00
5 +1.490384469e+03 +1.490384469e+03 +1.496764469e+03 +1.496764469e+03 +3.1681e+00 +2.2288e+00 -9.7239e-01 +2.4843e+00 -4.2008e+00 -4.7552e+00 +8.5049e-01 +2.5544e+00 +1.2570e+00 -3.5377e+00 -1.6019e+00 +4.7252e+00 -1.8228e+00 -1.3233e+00 -9.0060e-01 +1.3928e+00 -3.7144e+00 +7.8861e-01 -1.4808e+00 +3.8526e+00
35 +9.071868100e+02 +9.071868100e+02 +9.135668100e+02 +9.135668100e+02 -1.0231e+00 +3.4962e+00 +6.6667e-01 -1.2185e+00 -1.8213e-01 -8.7395e-01 -4.4870e-01 +3.9927e+00 +1.6947e+00 -2.6231e-01 -4.2150e+00 -9.3027e-01 -1.2813e+00 -3.9997e+00 +1.7273e+00 -2.5760e+00 +3.1213e+00 -3.3614e-01 +1.8618e-01 +1.7329e+00
93 +5.527512777e+02 +5.527512777e+02 +5.591312777e+02 +5.591312777e+02 +5.3066e-02 +4.2871e-02 +5.1413e-01 -1.1511e+00 +2.9373e-01 -8.5702e-01 -6.3472e-01 +2.5368e+00 +4.4887e-01 -5.6603e-01 -2.7931e+00 -4.4469e-01 -2.3129e-02 -9.3781e-01 +8.3264e-01 -2.3122e+00 +2.4190e+00 -4.5760e-01 +4.8929e-01 +7.9819e-01
% function evaluation | noise-free fitness - Fopt (1.437000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.883152326e+03 +1.883152326e+03 +1.897522326e+03 +1.897522326e+03 -4.1991e+00 -4.1149e+00 -3.1620e+00 +3.7611e+00 +1.7799e+00 -2.2594e+00 -1.6731e+00 +3.2642e+00 +2.0266e+00 +3.5132e+00 -4.7377e+00 +1.2572e+00 -8.1688e-01 -4.5309e+00 +2.0561e+00 +1.6077e+00 +4.7094e+00 -5.4813e-01 -3.7946e+00 -4.7963e+00
13 +1.473959686e+03 +1.473959686e+03 +1.488329686e+03 +1.488329686e+03 -1.4544e+00 +4.4098e+00 +2.6658e+00 -1.2239e+00 +4.5080e+00 +3.5789e+00 +2.1815e-01 -4.5694e+00 -3.3663e+00 -2.2368e+00 +1.1506e+00 +3.2494e+00 -1.8389e+00 +2.2509e+00 -1.3120e-01 +3.8403e+00 +3.4387e-01 -2.0030e+00 -2.4293e+00 +4.8194e+00
44 +9.102818212e+02 +9.102818212e+02 +9.246518212e+02 +9.246518212e+02 -1.6932e+00 +3.1497e+00 +1.0586e+00 +4.3404e+00 -6.6364e-01 +1.6825e+00 -2.0069e+00 +4.0853e+00 -1.4573e+00 -5.7574e-02 -2.7377e+00 +2.6581e+00 -1.0857e-01 -1.9664e+00 +1.2136e+00 +3.7973e+00 -2.0196e+00 -3.0483e+00 -2.7204e+00 -2.0887e+00
172 +6.283899108e+02 +6.283899108e+02 +6.427599108e+02 +6.427599108e+02 +5.2690e-01 +4.4083e+00 +9.5528e-01 +3.4210e+00 +1.6724e+00 +1.7499e+00 +7.3757e-02 +3.9496e+00 -4.3034e-01 -2.1039e+00 -4.6103e-02 +4.5084e-01 -3.7120e+00 -1.2780e+00 +1.8124e+00 +4.0559e+00 +3.4323e-02 -2.6028e+00 -1.2589e+00 -1.5970e+00
% function evaluation | noise-free fitness - Fopt (-3.260000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.520843664e+03 +1.520843664e+03 +1.517583664e+03 +1.517583664e+03 -2.3891e+00 +3.3711e-01 +8.1736e-01 -3.8916e+00 -4.2053e+00 +4.8496e+00 -1.3646e-01 +4.9575e+00 -1.7244e+00 -2.1540e+00 -3.5192e+00 -4.4690e+00 -1.8890e+00 -2.0608e+00 -4.6878e+00 -3.0537e-01 +4.1690e+00 +2.3852e+00 -3.6774e+00 -4.7289e-01
48 +8.798112822e+02 +8.798112822e+02 +8.765512822e+02 +8.765512822e+02 +3.5179e+00 -4.0513e+00 -2.3599e+00 +3.0852e+00 +1.2814e+00 -1.3646e+00 +1.8759e+00 -2.4725e+00 -3.5880e+00 +2.7515e+00 -6.8262e-01 +2.4879e+00 -1.4520e+00 -3.3786e+00 -4.3008e-01 +3.1185e+00 +1.8574e+00 +1.9906e-01 +2.7928e+00 -2.6167e+00
180 +6.303975673e+02 +6.303975673e+02 +6.271375673e+02 +6.271375673e+02 +2.3092e+00 -4.6163e-01 -4.2540e+00 +2.7356e+00 +8.6771e-01 +6.4742e-01 -3.4605e+00 -3.4829e+00 +5.2601e-01 +9.8167e-01 -7.2110e-01 +1.5924e+00 +1.1157e+00 -1.1360e+00 +6.7201e-01 -1.5018e+00 +2.5726e+00 +1.2305e+00 +2.2461e-01 -6.7543e-01
% function evaluation | noise-free fitness - Fopt (-2.056200000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.257724080e+04 +1.257724080e+04 +1.237162080e+04 +1.237162080e+04 -6.2814e-01 -1.3097e+00 -2.4452e+00 +3.1646e+00 +7.3592e-01 +4.9368e+00 -4.5920e+00 -1.6803e+00 +9.0424e-01 -1.1407e+00 +3.4771e+00 -2.7840e-01 +3.8674e+00 -1.7536e+00 -1.2358e+00 -2.4995e+00 +4.8804e+00 +3.5324e+00 -4.3160e-01 -5.9874e-01
2 +1.485345251e+03 +1.485345251e+03 +1.279725251e+03 +1.279725251e+03 -2.9706e+00 +2.8525e+00 +2.3984e+00 -1.5132e+00 -2.7340e+00 +4.2534e+00 -2.2513e+00 -1.9385e+00 -7.7266e-01 -3.8611e+00 -1.1654e+00 +3.5551e+00 -4.2425e+00 -1.7217e+00 -4.0521e+00 -6.7980e-01 -1.7865e+00 +1.2992e+00 +3.1385e-01 -4.7016e+00
35 +9.743691845e+02 +9.743691845e+02 +7.687491845e+02 +7.687491845e+02 -4.2426e+00 -2.2938e+00 -3.0169e+00 +1.6292e+00 -1.1239e-01 -3.1810e+00 -2.9568e+00 +4.0958e+00 -1.4919e+00 +3.2504e+00 -2.5409e+00 +1.8321e+00 -3.5056e+00 +4.3926e+00 +6.6064e-01 +1.7766e+00 +1.0952e+00 +3.6721e+00 -3.5885e+00 -3.4276e+00
69 +5.240848411e+02 +5.240848411e+02 +3.184648411e+02 +3.184648411e+02 +7.4617e-01 -1.6688e+00 -3.1579e+00 +1.7298e+00 -1.2578e-01 -3.1922e+00 -1.7820e+00 +1.5471e+00 +1.8615e+00 +3.0493e+00 -1.7056e+00 -3.4642e+00 -3.3988e+00 +4.0378e+00 +9.7607e-01 -2.4723e+00 +9.7733e-01 -2.3805e+00 -1.5887e+00 -3.4234e+00
278 +3.938046117e+02 +3.938046117e+02 +1.881846117e+02 +1.881846117e+02 +1.0678e+00 -2.0216e+00 -3.1307e+00 +1.2513e+00 -1.7867e+00 -3.1240e+00 -1.7244e+00 +1.9860e+00 +1.6985e+00 +6.8213e-01 +4.5527e-02 +6.0097e-01 -2.9844e+00 +2.9917e+00 +1.0244e+00 -2.1277e+00 +7.9604e-01 -2.0603e-02 -1.6507e+00 -2.8482e+00
% function evaluation | noise-free fitness - Fopt (2.877200000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
