% function evaluation | noise-free fitness - Fopt (-1.694000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
52 +9.118583217e+00 +9.118583217e+00 -1.387814168e+02 -1.387814168e+02 -1.2561e+00 +2.2263e-01 -1.2552e+00 -8.4067e-01 +9.3128e-01 +1.8701e+00 -9.6493e-01 -1.0347e+00 -5.5002e-01 +3.5027e+00 -2.1036e+00 +1.2710e+00 -1.3638e+00 -3.3738e+00 +1.6119e+00 +3.2148e+00 +1.1927e+00 -7.4220e-01 -1.3585e+00 -8.9829e-01
% function evaluation | noise-free fitness - Fopt (-1.621700000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.861016721e+01 +1.861016721e+01 -1.435598328e+02 -1.435598328e+02 -3.9327e+00 -1.1079e+00 -3.8578e+00 +8.6188e-01 -4.0739e+00 +3.2793e+00 +1.4541e+00 +4.4758e+00 -2.4068e+00 +2.1012e+00 +3.0230e+00 +2.1378e+00 +2.6162e+00 -1.8047e-01 +1.3585e+00 +3.1705e+00 -3.7775e-01 +3.2055e+00 +3.7999e+00 +2.9415e+00
3 +1.550938040e+01 +1.550938040e+01 -1.466606196e+02 -1.466606196e+02 -1.9113e-01 -5.2231e-01 -1.4211e+00 +2.3125e+00 +3.8356e+00 +1.9396e-01 -3.5933e+00 +3.2114e-01 +3.8132e+00 +1.7245e-01 -3.6944e+00 -8.5551e-01 -2.0003e+00 -1.3905e+00 -4.4267e+00 -1.6501e+00 -1.1681e+00 +2.7113e+00 -4.4929e+00 -4.6043e+00
73 +9.614548914e+00 +9.614548914e+00 -1.525554511e+02 -1.525554511e+02 +4.8598e-01 -6.0367e-01 -1.3131e+00 +2.0861e-01 +2.1226e+00 +9.2316e-02 +2.3592e+00 +1.1035e+00 +3.2214e+00 +1.0081e+00 -2.1875e+00 +1.4825e+00 -1.5231e+00 -7.0710e-01 -3.4202e+00 +8.5061e-01 -1.4680e+00 +1.3575e+00 -4.3242e+00 -4.2040e+00
1126 +6.306671395e+00 +6.306671395e+00 -1.558633286e+02 -1.558633286e+02 -1.9844e+00 -1.0886e+00 -2.0019e+00 -5.5784e-01 -1.5070e+00 -1.7924e-01 -1.0348e+00 +1.2176e+00 +3.2399e+00 +4.7760e-01 -1.6838e+00 -9.5612e-02 +3.7986e-01 -2.3241e+00 -3.5042e+00 -1.1645e+00 +9.3453e-01 +2.1439e+00 -3.3372e+00 -2.1550e+00
% function evaluation | noise-free fitness - Fopt (-3.348000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.596174774e+01 +2.596174774e+01 -7.518252257e+00 -7.518252257e+00 +4.1198e+00 -3.4596e+00 +3.0041e+00 +3.1491e+00 +3.7132e+00 -4.1872e+00 +3.9459e+00 +2.9350e+00 -1.6255e-01 +3.9320e+00 -4.4154e+00 +8.6577e-01 -4.1858e+00 -1.4335e+00 +5.9085e-01 -2.8204e+00 +2.0250e+00 +1.1968e+00 +4.2071e+00 +8.8216e-02
5 +1.476917514e+01 +1.476917514e+01 -1.871082486e+01 -1.871082486e+01 -1.6701e+00 -2.9664e+00 +3.3524e+00 -4.7963e-01 +1.4011e+00 +2.8868e+00 +1.8662e+00 +4.7424e+00 -2.0625e+00 -1.3329e+00 +4.3261e+00 +1.0347e+00 +1.9902e+00 +1.7910e+00 -3.9106e+00 -1.9206e+00 +2.2641e-01 +2.9191e+00 +2.8214e+00 +1.5462e-01
53 +9.589845853e+00 +9.589845853e+00 -2.389015415e+01 -2.389015415e+01 -1.0778e-02 -1.5985e+00 -5.9272e-01 +4.3314e-01 +3.5184e+00 -2.9070e+00 -3.4704e+00 -1.0167e-02 +2.0848e+00 +2.5552e+00 -1.9108e+00 -4.6387e+00 -1.5197e+00 -3.1342e+00 -1.3884e+00 +1.3216e+00 +4.6700e+00 +2.5740e+00 -2.7383e+00 +1.4151e+00
331 +6.263005660e+00 +6.263005660e+00 -2.721699434e+01 -2.721699434e+01 +6.3877e-01 -8.9306e-01 -2.0722e-01 +1.7909e+00 +3.5732e+00 -3.5203e+00 -2.7038e+00 -1.1226e+00 +2.2445e+00 +1.9855e+00 -1.5495e+00 -4.3357e+00 -1.2864e+00 -2.8333e+00 -1.0479e+00 +1.2982e+00 +2.3144e+00 +1.8987e+00 -2.7339e+00 +3.8740e-01
% function evaluation | noise-free fitness - Fopt (3.093400000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.190738320e+01 +3.190738320e+01 +3.412473832e+02 +3.412473832e+02 +9.3414e-01 +4.3282e+00 +2.3519e+00 -3.1274e+00 -3.9499e+00 +3.4298e+00 +3.1110e+00 +8.4746e-01 +3.4304e+00 +1.3605e+00 +3.2738e+00 +4.0858e+00 +4.0459e+00 -1.6263e-01 +2.5254e+00 +1.8434e+00 -9.4400e-01 +1.4066e+00 +1.1573e+00 -2.3987e+00
2 +2.435649968e+01 +2.435649968e+01 +3.336964997e+02 +3.336964997e+02 +4.5712e+00 -3.7123e+00 -4.5522e+00 +3.9930e+00 +3.5206e+00 -2.8660e+00 +1.5275e+00 +3.0522e-01 +4.6534e+00 -3.5230e+00 -4.0531e+00 +4.8759e+00 -2.3603e+00 +3.5865e+00 -2.0134e+00 -1.9949e+00 -3.7557e+00 -2.4510e+00 +2.1907e+00 -3.3428e+00
74 +1.578844329e+01 +1.578844329e+01 +3.251284433e+02 +3.251284433e+02 +1.2371e+00 +1.4453e+00 +1.2186e+00 +1.2470e+00 +1.1847e+00 +2.9328e+00 -2.2698e+00 -3.9835e-02 -1.8716e+00 +4.3805e+00 -2.7420e+00 -1.1768e+00 -2.4027e+00 +1.1882e+00 +4.7691e-01 -2.6942e+00 +1.4422e+00 -2.3925e+00 +1.4109e+00 -5.6319e-01
214 +9.734129281e+00 +9.734129281e+00 +3.190741293e+02 +3.190741293e+02 +3.7448e+00 +2.8921e+00 +2.5257e+00 -1.0740e+00 -5.5343e-01 +2.2056e+00 -4.9826e-01 +2.6643e+00 -2.0947e-02 +1.3687e+00 -1.7328e+00 +5.4741e-01 -1.0020e+00 -4.0406e-01 +1.0039e+00 -1.1694e+00 -2.0154e+00 +1.3621e+00 -3.1579e-02 +2.3403e+00
% function evaluation | noise-free fitness - Fopt (-1.318000000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +5.195974152e+01 +5.195974152e+01 -7.984025848e+01 -7.984025848e+01 -4.6960e+00 -1.7362e+00 +4.9349e+00 +2.9103e+00 +3.1069e+00 -2.7945e+00 +3.0054e+00 +2.9587e+00 -4.1043e+00 -3.0503e+00 -4.1925e+00 +2.7351e+00 +3.9705e+00 -2.4420e+00 -3.8164e+00 +3.5462e+00 +7.1245e-03 -3.1926e+00 -1.2105e+00 +4.8494e+00
3 +1.647374130e+01 +1.647374130e+01 -1.153262587e+02 -1.153262587e+02 -2.0994e+00 +4.8179e+00 +1.1055e+00 +3.6168e+00 -2.6716e+00 -9.3152e-01 +4.8285e+00 +4.2784e+00 -1.7731e+00 -2.9048e+00 -4.2842e+00 -4.3994e+00 -2.7064e+00 -2.2610e+00 -4.1152e+00 -4.6862e+00 +1.0965e+00 -2.7188e+00 +3.3559e+00 +2.4255e+00
11 +1.404155151e+01 +1.404155151e+01 -1.177584485e+02 -1.177584485e+02 +1.0268e+00 -8.8874e-01 +1.1182e+00 +4.8254e+00 -5.9089e-01 +8.0046e-01 -3.7903e+00 +3.0404e+00 +3.3457e-01 +1.5853e+00 +2.6771e+00 -5.0990e-01 +3.0414e+00 +1.8224e+00 -2.5613e-01 +1.2877e+00 +3.1916e+00 -3.3410e+00 -3.5218e+00 +3.5965e+00
94 +9.547490580e+00 +9.547490580e+00 -1.222525094e+02 -1.222525094e+02 -1.3555e+00 -2.4721e+00 -2.6377e+00 +3.0592e+00 -1.5153e+00 -1.1128e+00 +1.1395e+00 +1.7039e+00 -1.2111e+00 +1.2770e+00 +1.5637e+00 -6.9183e-01 +1.5934e+00 +9.5708e-01 -2.2094e+00 -9.4188e-01 +2.4842e+00 +3.1302e-01 -1.6695e+00 +2.3533e-01
% function evaluation | noise-free fitness - Fopt (-1.982400000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +8.708366697e+01 +8.708366697e+01 -1.111563330e+02 -1.111563330e+02 -1.6907e+00 +8.3697e-01 +4.0468e+00 +4.9108e+00 -1.6068e-01 +3.0873e-01 -4.3904e+00 -2.3528e+00 -1.3971e+00 +3.3341e+00 +2.4154e+00 -1.5586e+00 -2.4911e+00 +3.4988e+00 -5.2717e-02 -1.7861e+00 +2.6130e+00 +4.7441e+00 +3.4196e+00 +1.6964e+00
3 +6.181269407e+01 +6.181269407e+01 -1.364273059e+02 -1.364273059e+02 -1.4423e+00 -1.5743e+00 +5.6374e-01 +4.5980e-01 -3.4130e+00 -3.3857e+00 +8.7307e-01 +4.0972e+00 -2.3165e+00 +1.5325e+00 -4.7057e+00 +2.7204e+00 +3.0399e+00 -3.0211e+00 +4.6228e+00 -4.4132e+00 +2.5960e-01 -8.2308e-02 -3.8346e+00 -1.6370e+00
5 +3.253807040e+01 +3.253807040e+01 -1.657019296e+02 -1.657019296e+02 +1.6366e+00 -4.6239e+00 +1.0314e+00 +3.0983e+00 -2.7181e+00 +4.0368e+00 -4.7096e-01 -1.6627e+00 +3.8086e+00 +3.9757e+00 +4.2753e+00 +2.2137e-01 -3.5280e+00 +1.0933e+00 -3.2238e+00 +4.1044e+00 +2.9154e+00 -1.9118e+00 -5.2362e-01 -1.9002e+00
