% function evaluation | noise-free fitness - Fopt (7.627000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
6 +2.378967830e+05 +2.378967830e+05 +2.368967830e+05 +2.368967830e+05 -6.6828e-01 -5.3953e-01 +1.1189e+00
20 +1.112183590e+04 +1.112183590e+04 +1.012183590e+04 +1.012183590e+04 -2.9762e+00 +2.7869e+00 +3.0590e+00
23 +3.643129894e+03 +3.643129894e+03 +2.643129894e+03 +2.643129894e+03 +2.2885e+00 +1.7193e+00 +1.1272e+00
100 +1.561443182e+01 +1.561443182e+01 -9.843855682e+02 -9.843855682e+02 -2.5523e-01 +1.8275e+00 +1.8409e+00
% function evaluation | noise-free fitness - Fopt (7.910000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.248386698e+07 +1.248386698e+07 +1.248387489e+07 +1.248387489e+07 +2.4693e+00 +1.8221e+00 -3.6986e+00
3 +4.008640324e+05 +4.008640324e+05 +4.008719424e+05 +4.008719424e+05 +2.3951e+00 +4.6300e+00 -1.9102e+00
7 +9.559636524e+04 +9.559636524e+04 +9.560427524e+04 +9.560427524e+04 -1.8173e+00 +3.5186e+00 -1.4109e+00
31 +4.014964296e+04 +4.014964296e+04 +4.015755296e+04 +4.015755296e+04 +1.0684e+00 +4.1772e+00 -4.3250e-01
43 +5.510411860e+02 +5.510411860e+02 +5.589511860e+02 +5.589511860e+02 +1.1489e+00 +4.5813e+00 -1.1320e+00
83 +1.141693937e+02 +1.141693937e+02 +1.220793937e+02 +1.220793937e+02 +1.1188e+00 +4.5813e+00 -1.1320e+00
104 +7.867669002e+01 +7.867669002e+01 +8.658669002e+01 +8.658669002e+01 +1.1489e+00 +4.5813e+00 -1.0568e+00
111 +3.221282703e+01 +3.221282703e+01 +4.012282703e+01 +4.012282703e+01 +1.1489e+00 +4.5813e+00 -1.0267e+00
% function evaluation | noise-free fitness - Fopt (-3.233000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +7.063188662e+04 +7.063188662e+04 +7.059955662e+04 +7.059955662e+04 +1.6567e+00 -4.6259e+00 -1.5155e+00
2 +4.930478310e+04 +4.930478310e+04 +4.927245310e+04 +4.927245310e+04 +4.7294e+00 +1.5821e+00 +4.8912e+00
55 +3.964511485e+04 +3.964511485e+04 +3.961278485e+04 +3.961278485e+04 +4.6560e+00 +1.3635e+00 +4.6801e+00
59 +3.329415874e+02 +3.329415874e+02 +3.006115874e+02 +3.006115874e+02 +3.6618e+00 +3.3193e+00 -3.0179e-01
63 +6.142168785e+01 +6.142168785e+01 +2.909168785e+01 +2.909168785e+01 +2.3639e+00 +1.3094e+00 -3.4658e+00
145 +3.834221481e+01 +3.834221481e+01 +6.012214814e+00 +6.012214814e+00 +2.3861e+00 +8.4914e-01 -3.1495e+00
% function evaluation | noise-free fitness - Fopt (-1.324000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.544887406e+07 +4.544887406e+07 +4.544886082e+07 +4.544886082e+07 -4.4718e+00 -1.4452e+00 -2.3583e+00
2 +2.820991647e+07 +2.820991647e+07 +2.820990323e+07 +2.820990323e+07 -2.4750e+00 +6.3261e-01 -1.6094e+00
3 +1.846750515e+07 +1.846750515e+07 +1.846749191e+07 +1.846749191e+07 -8.3025e-01 -4.6369e+00 +2.0428e+00
