% function evaluation | noise-free fitness - Fopt (1.238300000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
147 +3.876084464e+01 +3.876084464e+01 +1.043708446e+02 +1.043708446e+02 +3.4865e-01 +7.3038e-01 +5.5598e-01 +2.8808e-01 +1.0778e-01
172 +1.960737676e+01 +1.960737676e+01 +8.521737676e+01 +8.521737676e+01 +3.7208e-01 +4.0573e-01 +4.4193e-01 +4.6937e-01 +1.0702e-01
558 +1.544084388e+01 +1.544084388e+01 +8.105084388e+01 +8.105084388e+01 +3.0177e-01 +3.7805e-01 +5.9846e-01 +3.2887e-01 +8.2055e-03
% function evaluation | noise-free fitness - Fopt (6.306000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.626423068e+04 +4.626423068e+04 +4.632729068e+04 +4.632729068e+04 +1.3448e+00 +2.5678e+00 +4.4830e+00 +1.0083e+00 -4.4446e+00
3 +7.272671537e+03 +7.272671537e+03 +7.335731537e+03 +7.335731537e+03 -2.6195e+00 +6.8465e-01 -1.0014e+00 +2.4970e+00 -1.7565e+00
11 +1.452376036e+03 +1.452376036e+03 +1.515436036e+03 +1.515436036e+03 +9.7391e-01 +8.8231e-01 -1.6512e+00 +6.3379e-01 +3.0915e+00
43 +1.047558676e+02 +1.047558676e+02 +1.678158676e+02 +1.678158676e+02 -2.0753e-01 +7.3700e-01 -1.2716e+00 +9.1448e-01 +1.4939e-01
91 +9.606542172e+01 +9.606542172e+01 +1.591254217e+02 +1.591254217e+02 -2.0753e-01 +7.3700e-01 -1.2716e+00 +8.2279e-01 +1.4939e-01
132 +5.670977485e+01 +5.670977485e+01 +1.197697748e+02 +1.197697748e+02 -6.6553e-02 +7.7003e-01 -2.5258e-01 +6.6406e-01 +2.5618e-01
163 +3.188520925e+01 +3.188520925e+01 +9.494520925e+01 +9.494520925e+01 -1.9296e-01 +7.4603e-01 -1.0253e+00 +7.1050e-01 +2.3683e-01
203 +1.576786281e+01 +1.576786281e+01 +7.882786281e+01 +7.882786281e+01 -1.5983e-01 +7.5877e-01 -7.5191e-01 +7.9143e-01 +5.1726e-01
231 +5.034581402e+00 +5.034581402e+00 +6.809458140e+01 +6.809458140e+01 -4.3995e-01 +7.6121e-01 -6.6893e-01 +7.3799e-01 +3.1158e-01
% function evaluation | noise-free fitness - Fopt (5.193000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +2.426094229e+04 +2.426094229e+04 +2.431287229e+04 +2.431287229e+04 +4.1464e+00 -1.4185e-02 -2.8016e+00 +1.0614e+00 -2.0864e+00
2 +7.774737181e+03 +7.774737181e+03 +7.826667181e+03 +7.826667181e+03 -8.0159e-01 -1.5093e+00 -2.1852e+00 -2.1843e+00 +2.2127e+00
4 +3.747000040e+03 +3.747000040e+03 +3.798930040e+03 +3.798930040e+03 -1.7076e+00 -2.4611e+00 -2.2078e+00 -3.3579e+00 -5.4376e-01
7 +1.083185212e+03 +1.083185212e+03 +1.135115212e+03 +1.135115212e+03 +2.9690e+00 +1.1924e+00 +3.6752e+00 +2.3484e+00 +8.3190e-01
25 +2.374254624e+02 +2.374254624e+02 +2.893554624e+02 +2.893554624e+02 -4.4019e-02 -2.0631e-01 +1.9024e+00 -2.6360e-01 -6.3582e-01
