% function evaluation | noise-free fitness - Fopt (1.491500000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
161 +5.656612709e+03 +5.656612709e+03 +5.609462709e+03 +5.609462709e+03 -2.0424e+00 -1.7311e+00 +3.4232e-01 -1.5062e+00 -4.0829e-01 +9.3592e-02 -4.6405e+00 -1.5771e+00 -1.1940e+00 -2.2139e+00
% function evaluation | noise-free fitness - Fopt (3.752000000000e+01) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +4.362086492e+05 +4.362086492e+05 +4.362461692e+05 +4.362461692e+05 -2.5241e+00 -4.3904e+00 +8.4495e-01 +4.0218e+00 -4.3870e+00 +1.1072e+00 +2.6569e+00 +3.1583e+00 +2.3502e+00 +2.9096e+00
2 +1.486830570e+05 +1.486830570e+05 +1.487205770e+05 +1.487205770e+05 -5.7096e-01 +5.6040e-01 -1.9208e+00 -2.4645e+00 +1.7090e+00 +6.0282e-01 +4.2280e+00 -3.0526e+00 -1.8689e+00 -7.7529e-01
22 +6.116680276e+04 +6.116680276e+04 +6.120432276e+04 +6.120432276e+04 -8.1646e-01 -3.6789e+00 +4.2939e+00 -4.1410e+00 +4.4869e+00 -3.0278e+00 -7.9258e-02 -1.2881e+00 +4.2651e+00 +1.4579e-01
39 +3.652842465e+04 +3.652842465e+04 +3.656594465e+04 +3.656594465e+04 +4.1738e+00 -3.6802e+00 +2.4459e+00 +1.4845e+00 +2.5743e+00 +2.9441e+00 +7.1023e-01 +4.1082e-01 +1.2803e-01 +4.6920e+00
44 +1.544848232e+04 +1.544848232e+04 +1.548600232e+04 +1.548600232e+04 +2.7934e+00 -3.4548e+00 +1.8324e+00 +1.2664e-01 -6.0754e-01 +3.0911e+00 +1.9368e+00 +9.4462e-01 -1.3686e+00 +3.6491e+00
95 +9.376269288e+03 +9.376269288e+03 +9.413789288e+03 +9.413789288e+03 +3.2169e+00 -4.2958e+00 +3.3794e+00 +2.9433e-01 +1.5012e+00 +1.0996e+00 +9.6759e-01 +1.2276e-02 +2.5550e+00 +7.0767e-02
% function evaluation | noise-free fitness - Fopt (2.847900000000e+02) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +1.309092816e+04 +1.309092816e+04 +1.337571816e+04 +1.337571816e+04 +8.0195e-02 +8.8570e-01 +1.8545e+00 +2.8457e+00 +6.7826e-01 +1.1962e+00 +1.9489e+00 +2.6136e+00 -4.0394e+00 -3.0892e+00
43 +7.589269605e+03 +7.589269605e+03 +7.874059605e+03 +7.874059605e+03 -4.2779e-01 +8.5161e-01 -7.3378e-01 +2.2593e-01 +3.7041e-01 +2.1152e+00 +1.8025e+00 +1.2969e+00 -3.7094e+00 -3.0711e+00
85 +5.849068028e+03 +5.849068028e+03 +6.133858028e+03 +6.133858028e+03 +1.5471e+00 +1.0307e+00 -8.9466e-01 -1.2869e-01 +3.1527e-02 +6.8335e-01 +1.5852e+00 +1.8270e+00 -3.2699e+00 -1.1841e+00
107 +3.429363727e+03 +3.429363727e+03 +3.714153727e+03 +3.714153727e+03 +9.9262e-02 -7.4756e-02 -1.6287e-01 +2.0645e+00 -1.3406e+00 +1.6967e+00 +1.3694e+00 +3.2674e+00 -3.6704e+00 -3.1720e+00
215 +2.458654793e+03 +2.458654793e+03 +2.743444793e+03 +2.743444793e+03 -1.7581e-01 +3.4874e-03 -1.6207e-01 +2.0209e+00 -9.8369e-01 +1.8119e+00 +1.3268e+00 +2.0569e+00 -3.8640e+00 -3.0766e+00
% function evaluation | noise-free fitness - Fopt (7.760000000000e+00) | best noise-free fitness - Fopt | measured fitness | best measured fitness | x1 | x2...
1 +3.842212837e+05 +3.842212837e+05 +3.842290437e+05 +3.842290437e+05 -4.7476e+00 +2.2248e-01 +5.7639e-01 +2.7616e+00 +3.4289e+00 -4.5347e+00 -4.2393e-01 +3.8361e-01 +3.8205e+00 +4.3995e+00
12 +2.019961640e+05 +2.019961640e+05 +2.020039240e+05 +2.020039240e+05 -2.4852e+00 +2.3949e-01 -3.7234e+00 +2.3726e+00 +2.0113e-01 -2.5332e-01 +4.8699e-01 +4.5453e+00 +5.2853e-01 -2.2074e+00
13 +8.201153087e+04 +8.201153087e+04 +8.201929087e+04 +8.201929087e+04 -1.2022e+00 +1.5908e+00 +5.1283e-01 -2.8550e+00 -7.7500e-02 -3.6622e+00 -4.7018e+00 -4.5464e+00 -2.1308e+00 -1.5592e+00
49 +3.850382305e+04 +3.850382305e+04 +3.851158305e+04 +3.851158305e+04 -6.1639e-01 -2.9090e+00 -1.0751e+00 -8.9924e-01 +1.3833e+00 +1.1422e-01 +7.5614e-01 -8.6115e-01 -9.2070e-01 +1.1426e+00
53 +1.796052387e+04 +1.796052387e+04 +1.796828387e+04 +1.796828387e+04 -1.3642e+00 -1.0195e+00 -1.0712e+00 -3.5108e+00 -2.6561e+00 +2.9414e-01 -3.0075e+00 -2.8818e+00 -1.7697e+00 +2.2686e+00
75 +1.365830168e+04 +1.365830168e+04 +1.366606168e+04 +1.366606168e+04 +2.3922e+00 -3.1396e+00 -2.3392e+00 +8.9678e-01 -9.4447e-01 -1.8050e-01 -3.1222e+00 -3.8943e+00 +6.2481e-01 -1.1378e+00
81 +5.603126069e+03 +5.603126069e+03 +5.610886069e+03 +5.610886069e+03 +1.2786e+00 -3.1277e+00 -2.1089e+00 -2.5401e+00 -1.4936e+00 -3.3550e+00 -2.4859e+00 -2.7233e+00 +8.6159e-01 +3.7277e+00
101 +3.244180130e+03 +3.244180130e+03 +3.251940130e+03 +3.251940130e+03 +2.2193e+00 -2.2683e+00 -3.8875e+00 -1.5820e+00 -1.3657e+00 +7.4198e-01 -1.3394e+00 -2.2444e+00 -2.2629e+00 -2.1263e-01
